Generation,Best_Fitness,Avg_Fitness
1,345.0,287.9198879540749
2,345.0,319.06343570893443
3,345.0,319.1559235209236
4,345.0,306.7485714285715
5,345.0,324.59076479076487
6,345.0,329.5924612585483
7,345.0,332.31540125404575
8,345.0,326.4323520923521
9,345.0,324.02077294686
10,345.0,336.6666666666667
11,345.0,336.2337599598469
12,345.0,310.6481962481963
13,345.0,327.5612452046598
14,345.0,329.2808243929984
15,345.0,337.20230252838957
16,345.0,319.41298701298706
17,345.0,324.67063492063494
18,345.0,326.8490495012234
19,345.0,327.3037518037518
20,345.0,332.49165945165953
21,345.0,311.9037518037519
22,345.0,329.98340432900443
23,345.0,318.3504473304474
24,345.0,332.15678283455674
25,345.0,328.52755505364206
26,345.0,317.8622727272728
27,345.0,324.1559295815296
28,345.0,318.0021582282452
29,345.0,329.2500721500722
30,345.0,322.35930735930737
31,345.0,326.65743145743147
32,345.0,318.95114718614724
33,345.0,295.7766522366523
34,345.0,314.7287445887447
35,345.0,334.44533910533926
36,345.0,330.11298701298705
37,345.0,334.8370851370852
38,345.0,333.2375117635987
39,345.0,336.44299516908205
40,345.0,340.0930673191543
41,345.0,335.7415458937199
42,345.0,333.995912975913
43,345.0,336.20398268398264
44,345.0,326.43896103896117
45,345.0,323.5240981240981
46,345.0,313.81595598845604
47,345.0,331.7037518037518
48,345.0,328.2596825396825
49,345.0,330.25930735930734
50,345.0,326.48340548340553
